,path,product,time_period,weight,scenario
8860,"[('Oslo', 'Stavanger', 'Sea', 1)]",Dry bulk,2050,28.88084985704933,AVG22
8861,"[('Oslo', 'Stavanger', 'Sea', 1)]",Fish,2050,5.947733944166773,AVG22
8862,"[('Oslo', 'Stavanger', 'Sea', 1)]",General cargo,2050,209.87574477954726,AVG22
8863,"[('Oslo', 'Stavanger', 'Sea', 1)]",Industrial goods,2050,129.58716348500528,AVG22
8864,"[('Oslo', 'Stavanger', 'Sea', 1)]",Other thermo,2050,11.429771856792948,AVG22
8865,"[('Oslo', 'Stavanger', 'Sea', 1)]",Wet bulk,2050,40.511602072574796,AVG22
8866,"[('Stavanger', 'Oslo', 'Sea', 1)]",Fish,2030,5.442747438378915,AVG22
8867,"[('Stavanger', 'Oslo', 'Sea', 1)]",Industrial goods,2030,48.22051064666426,AVG22
8868,"[('Stavanger', 'Oslo', 'Sea', 1)]",Other thermo,2030,31.178941363677115,AVG22
8869,"[('Stavanger', 'Oslo', 'Sea', 1)]",Dry bulk,2040,32.09363368580961,AVG22
8870,"[('Stavanger', 'Oslo', 'Sea', 1)]",Fish,2040,6.609802581278889,AVG22
8871,"[('Stavanger', 'Oslo', 'Sea', 1)]",General cargo,2040,64.57612982170542,AVG22
8872,"[('Stavanger', 'Oslo', 'Sea', 1)]",Industrial goods,2040,53.96386700303538,AVG22
8873,"[('Stavanger', 'Oslo', 'Sea', 1)]",Other thermo,2040,43.018981605669644,AVG22
8874,"[('Stavanger', 'Oslo', 'Sea', 1)]",Wet bulk,2040,16.016683832697417,AVG22
8875,"[('Stavanger', 'Oslo', 'Sea', 1)]",Dry bulk,2050,37.03547998852256,AVG22
8876,"[('Stavanger', 'Oslo', 'Sea', 1)]",Fish,2050,8.058096228950442,AVG22
8877,"[('Stavanger', 'Oslo', 'Sea', 1)]",General cargo,2050,77.36883157134017,AVG22
8878,"[('Stavanger', 'Oslo', 'Sea', 1)]",Industrial goods,2050,63.65897282714669,AVG22
8879,"[('Stavanger', 'Oslo', 'Sea', 1)]",Other thermo,2050,55.60258958449537,AVG22
8880,"[('Stavanger', 'Oslo', 'Sea', 1)]",Wet bulk,2050,16.902723384019367,AVG22
8881,"[('Trondheim', 'Hamar', 'Road', 1)]",Dry bulk,2020,4.418744278170406,AVG22
8882,"[('Trondheim', 'Hamar', 'Road', 1)]",Fish,2020,0.15146642903327737,AVG22
8883,"[('Trondheim', 'Hamar', 'Road', 1)]",General cargo,2020,5.084116599048153,AVG22
8884,"[('Trondheim', 'Hamar', 'Road', 1)]",Industrial goods,2020,5.60953225213334,AVG22
8885,"[('Trondheim', 'Hamar', 'Road', 1)]",Other thermo,2020,3.1075422659744674,AVG22
8886,"[('Trondheim', 'Hamar', 'Road', 1)]",Wet bulk,2020,2.9085245639880135,AVG22
8887,"[('Trondheim', 'Hamar', 'Road', 1)]",Dry bulk,2025,5.168917401486646,AVG22
8888,"[('Trondheim', 'Hamar', 'Road', 1)]",Fish,2025,0.15880217832309096,AVG22
8889,"[('Trondheim', 'Hamar', 'Road', 1)]",General cargo,2025,5.876640537498253,AVG22
8890,"[('Trondheim', 'Hamar', 'Road', 1)]",Industrial goods,2025,6.507900232234272,AVG22
